commanded_torque_Nm,measured_accel_rad_s2
-0.2,-7.916400175163172
-0.18000000000000002,-10.324941261417827
-0.16,-8.411517129603812
-0.14,-6.895093596984975
-0.12000000000000001,-5.769665378592572
-0.1,-5.226698572647391
-0.08000000000000002,-3.7754410123440207
-0.06,-2.8437159588962855
-0.04000000000000001,-1.886550259825699
-0.020000000000000018,-0.9726006365661788
0.0,-0.03240457248217571
0.01999999999999999,0.8925080481971879
0.03999999999999998,1.8073449828866492
0.06,2.7497787197433237
0.08000000000000002,3.6945849860403115
0.09999999999999998,5.108764220694254
0.12,5.82541554930269
0.14,6.9604834167885326
0.15999999999999998,4.522959977591778
0.18,6.250011996693127
0.2,6.123407639747767
