commanded_torque_Nm,measured_accel_rad_s2
-0.2,-5.747164704579245
-0.18000000000000002,-3.2736757537462777
-0.16,-3.5579634847002044
-0.14,-5.282764269217838
-0.12000000000000001,-5.547221469880237
-0.1,-4.970076266834928
-0.08000000000000002,-4.197594098055628
-0.06,-1.242494995711831
-0.04000000000000001,-0.2596659682353115
-0.020000000000000018,-0.5853904408972924
0.0,-0.12675501962692612
0.01999999999999999,0.9492649474668394
0.03999999999999998,1.9675799284460909
0.06,2.9269228569985906
0.08000000000000002,3.6919133951046135
0.09999999999999998,4.101375598304683
0.12,3.7686079326701396
0.14,2.9920019258193804
0.15999999999999998,3.1585884472737575
0.18,4.762588038228683
0.2,0.2009340550979385
