commanded_torque_Nm,measured_accel_rad_s2
-0.2,-10.127035069159971
-0.18000000000000002,-8.86266957923356
-0.16,-7.424229886354571
-0.14,-6.4257466276673325
-0.12000000000000001,-5.494384578492188
-0.1,-4.582299358897955
-0.08000000000000002,-3.6408562377640616
-0.06,-2.7296931334173737
-0.04000000000000001,-1.842828012083438
-0.020000000000000018,-0.9234341481888402
0.0,-0.01248611065170501
0.01999999999999999,0.9120702635457795
0.03999999999999998,1.8085340083506252
0.06,2.723505666752105
0.08000000000000002,3.653927954402029
